name,category,mode_compute_5,mode_compute_6,mh_posterior_mean
phi,structural,145.568961589101,145.891493374652,152.31673647181
alpha_pi,structural,2.45009115885501,2.45245404294579,2.42556520126803
alpha_y,structural,0.0870556914205161,0.0892853921441004,0.17983085649639
gamma_m,structural,0.63351999264886,0.63358596459603,0.606294947518752
gamma_I,structural,0.100948366727278,0.0834843954981191,0.265767925795688
delta,structural,0.19124301160095,0.190380473027751,0.220911246008897
rho_xi,structural,0.910299406534586,0.909725154962131,0.914148324601589
rho_theta,structural,0.880751394478558,0.880784988260967,0.716029333781637
rho_z,structural,0.879260914972647,0.879474888663667,0.716245010377936
rho_g,structural,0.0864768542579604,0.0822802804836132,0.197629963473752
rho_gm,structural,0.0600336514295658,0.056557150948253,0.208682109909199
rho_zm,structural,0.220686213265085,0.189210205464166,0.348662633636645
sigma_xi,structural,2.63038963557395,2.62216411752252,2.71330067624279
sigma_theta,structural,0.027246768074477,0.0277877130356927,0.177973573939768
sigma_z,structural,0.0154500088213743,0.0157268298752514,0.133270567007224
sigma_g,structural,0.835461651730089,0.839800426814744,0.751470689526076
sigma_gm,structural,0.139425031939712,0.140601391063741,0.12002225686692
sigma_zm,structural,0.0556124194036813,0.0427503864567715,0.105932958243043
obs_dy,measurement_error_stderr,0.194474141348983,0.194551488987394,0.201121768829718
obs_r,measurement_error_stderr,0.214707144957047,0.214868012021755,0.213937304237848
obs_di,measurement_error_stderr,0.0393356595954754,0.0393208099917021,0.0410117906695814
