name,category,mode,local_sd
phi,structural,145.303756161582,31.5671582158249
alpha_pi,structural,2.44881287382034,0.219081632457025
alpha_y,structural,0.0882744616771124,0.0874033316965292
gamma_m,structural,0.641045829234905,0.0666807421811978
gamma_I,structural,0.0712388205909906,0.114800954408023
delta,structural,0.191742854111972,0.0434901785204474
rho_xi,structural,0.909097417713911,0.0186258998067899
rho_theta,structural,0.880981792754211,0.220972101680963
rho_z,structural,0.879401329078014,0.220142683532386
rho_g,structural,0.0833929873878315,0.0737760458671168
rho_zm,structural,0.153024767188449,0.340492985506962
sigma_xi,structural,2.61194056463065,0.381412205567575
sigma_theta,structural,0.0274987477708303,0.169934113002234
sigma_z,structural,0.0156028429366488,0.126944533229873
sigma_g,structural,0.839462226162972,0.0728900263467979
sigma_zm,structural,0.0282895397633222,0.114584062000487
sigma_zm2,structural,0.149286055306464,0.0221118266172472
obs_dy,measurement_error_stderr,0.194538063751662,0.0558977058898861
obs_r,measurement_error_stderr,0.214723823528696,0.0111770311707057
obs_di,measurement_error_stderr,0.0394805176604961,0.0124423777037081
